Title,Url,Sdk,discount,unavailable
Toner Compativel MLT D203U Preto 15K Fast Printer M4020,https://www.extra.com.br/toner-compativel-mlt-d203u-preto-15k-fast-printer-m4020/p/13012324,13012324,,False
Impressora Tanque de Tinta Epson EcoTank L1800 Colorida,https://www.extra.com.br/impressora-tanque-de-tinta-epson-ecotank-l1800-colorida/p/9195161,9195161,6%,True
Impressora HP LaserJet Pro P1102w com ePrint - Wireless,https://www.extra.com.br/Impressora-HP-LaserJet-Pro-P1102w-com-ePrint-Wireless/p/1706498,1706498,26%,True
Impressora HP OfficeJet Pro 8210 - Preto,https://www.extra.com.br/Impressora-HP-OfficeJet-Pro-8210-Preto/p/8182623,8182623,7%,True
Impressora EPSON Matricial LX-350 EDG - BRCC24021,https://www.extra.com.br/impressora-epson-matricial-lx-350-edg-brcc24021/p/3720616,3720616,9%,True
Impressora HP Laserjet Pro CP1025 CE913A#696,https://www.extra.com.br/impressora-hp-laserjet-pro-cp1025-ce913a-696/p/406095,406095,19%,True
Impressora HP LaserJet Pro M15w Wireless,https://www.extra.com.br/impressora-hp-laserjet-pro-m15w-wireless/p/12895633,12895633,21%,True
Impressora Laser Mono Brother HL-L6202DW 46ppm Duplex Wireless,https://www.extra.com.br/impressora-laser-mono-brother-hl-l6202dw-46ppm-duplex-wireless/p/9803133,9803133,5%,True
